name,verified,threshold,run_probability,action,resource_time_s,pareto_time_s,policy_time_s,resource_score,pareto_score,policy_score,resource_T,pareto_T,policy_T,resource_CNOT,pareto_CNOT,policy_CNOT,resource_depth,pareto_depth,policy_depth,resource_gates,pareto_gates,policy_gates,resource_peak_ancilla,pareto_peak_ancilla,policy_peak_ancilla
raw_mcts_budget_policy_test_seed45:truth_n6_18,True,0.6,0.9749580025672913,run_pareto,0.33362388610839844,6.403033018112183,6.736656904220581,135.495,118.025,118.025,116.0,100.0,100.0,225.0,201.0,201.0,231.0,205.0,205.0,103.0,91.0,91.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_19,True,0.6,0.9782293438911438,run_pareto,0.3860280513763428,7.250835180282593,7.6368632316589355,148.52,126.67999999999999,126.67999999999999,128.0,108.0,108.0,243.0,212.0,212.0,248.0,216.0,216.0,108.0,96.0,96.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_2,True,0.6,0.9687209129333496,run_pareto,0.31502604484558105,6.455338001251221,6.770364046096802,132.73499999999999,118.18500000000002,118.18500000000002,112.0,100.0,100.0,215.0,203.0,203.0,215.0,209.0,209.0,91.0,93.0,93.0,4.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_20,True,0.6,0.977957546710968,run_pareto,0.2807021141052246,5.5383031368255615,5.819005250930786,126.675,117.93,117.93,108.0,100.0,100.0,213.0,200.0,200.0,215.0,202.0,202.0,93.0,90.0,90.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_21,True,0.6,0.9148919582366943,run_pareto,0.2618989944458008,5.280839920043945,5.542738914489746,122.14500000000001,109.38499999999999,109.38499999999999,104.0,92.0,92.0,202.0,188.0,188.0,209.0,197.0,197.0,93.0,91.0,91.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_22,True,0.6,0.9893187880516052,run_pareto,0.3480098247528076,6.782117128372192,7.130126953125,157.445,128.98,128.98,136.0,108.0,108.0,261.0,215.0,215.0,261.0,224.0,224.0,109.0,102.0,102.0,3.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_23,True,0.6,0.8423346877098083,run_pareto,0.4045720100402832,7.5425310134887695,7.947103023529053,127.615,127.615,127.615,108.0,108.0,108.0,227.0,227.0,227.0,231.0,231.0,231.0,107.0,107.0,107.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_24,True,0.6,0.9735479354858398,run_pareto,0.3629629611968994,6.821539640426636,7.184502601623535,144.10000000000002,124.225,124.225,124.0,104.0,104.0,234.0,201.0,201.0,244.0,213.0,213.0,108.0,99.0,99.0,3.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_25,True,0.6,0.9465729594230652,run_pareto,0.38518810272216797,6.913774251937866,7.298962354660034,135.85,122.92,122.92,116.0,104.0,104.0,231.0,213.0,213.0,238.0,224.0,224.0,104.0,104.0,104.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_26,True,0.6,0.9674980640411377,run_pareto,0.3101840019226074,5.851164817810059,6.161348819732666,130.29000000000002,101.97999999999999,101.97999999999999,112.0,84.0,84.0,206.0,165.0,165.0,210.0,172.0,172.0,90.0,80.0,80.0,3.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_27,True,0.6,0.9279884099960327,run_pareto,0.5872280597686768,7.405393123626709,7.992621183395386,135.91500000000002,113.07999999999998,113.07999999999998,116.0,96.0,96.0,232.0,183.0,183.0,239.0,192.0,192.0,105.0,88.0,88.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_28,True,0.6,0.942703366279602,run_pareto,0.5107038021087646,7.583877086639404,8.094580888748169,140.02,119.83,119.83,120.0,100.0,100.0,234.0,197.0,197.0,240.0,202.0,202.0,106.0,92.0,92.0,3.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_29,True,0.6,0.935775637626648,run_pareto,0.3094289302825928,5.629936218261719,5.9393651485443115,117.64,109.195,109.195,100.0,92.0,92.0,191.0,184.0,184.0,204.0,195.0,195.0,94.0,91.0,91.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_3,True,0.6,0.954658031463623,run_pareto,0.43920207023620605,6.364242076873779,6.803444147109985,130.56,119.72,119.72,112.0,100.0,100.0,209.0,196.0,196.0,216.0,200.0,200.0,96.0,88.0,88.0,3.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_30,True,0.6,0.9658417701721191,run_pareto,0.32784581184387207,6.4596474170684814,6.7874932289123535,144.13,113.355,113.355,124.0,96.0,96.0,236.0,189.0,189.0,242.0,195.0,195.0,106.0,87.0,87.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_31,True,0.6,0.94154292345047,run_pareto,0.30305004119873047,5.588841915130615,5.891891956329346,122.74,106.785,106.785,104.0,88.0,88.0,211.0,179.0,179.0,220.0,185.0,185.0,100.0,85.0,85.0,3.0,4.0,4.0
