name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0012_deep,20,deep,149,depth2_guard_direct,1676.5549999999998,1520,2427,2427,907,7,0.4691679169991403,True,7,0,True,147,149,0
terms_n20_0012_deep,20,deep,149,depth_frontier_policy,1628.77,1476,2362,2362,886,7,5.68253433299833,True,11,0,True,148,149,0
terms_n20_0012_deep,20,deep,149,depth_policy,1676.5549999999998,1520,2427,2427,907,7,0.4691679169991403,True,7,0,True,147,149,0
terms_n20_0012_deep,20,deep,149,direct_logical_and,1841.985,1672,2657,2657,985,7,7.080016075633466e-07,True,1,0,True,149,149,0
terms_n20_0012_deep,20,deep,149,screen_depth1,1715.705,1556,2481,2481,925,7,0.0955637920051231,True,5,0,True,147,149,0
terms_n20_0012_deep,20,deep,149,screen_depth2,1676.5549999999998,1520,2427,2427,907,7,0.4691679169991403,True,7,0,True,147,149,0
terms_n20_0012_deep,20,deep,149,screen_depth3,1650.4550000000002,1496,2391,2391,895,7,1.8617314579969388,True,9,0,True,147,149,0
terms_n20_0012_deep,20,deep,149,screen_depth4,1628.77,1476,2362,2362,886,7,5.68253433299833,True,11,0,True,148,149,0
terms_n20_0012_deep,20,deep,149,screen_single,1767.905,1604,2553,2553,949,7,0.01423058399814181,True,3,0,True,147,149,0
terms_n20_0013_shallow,20,shallow,75,adaptive_all_depth,649.715,584,947,947,363,5,0.9441533740027808,True,7,0,True,71,75,0
terms_n20_0013_shallow,20,shallow,75,depth2_guard_direct,649.715,584,947,947,363,5,0.12747633300023153,True,7,0,True,71,75,0
terms_n20_0013_shallow,20,shallow,75,depth_frontier_policy,649.715,584,947,947,363,5,0.12747633300023153,True,7,0,True,71,75,0
terms_n20_0013_shallow,20,shallow,75,depth_policy,653.8050000000001,588,949,949,361,5,0.03634558300109347,True,5,0,True,67,75,0
terms_n20_0013_shallow,20,shallow,75,direct_logical_and,826.325,748,1197,1197,449,4,7.90998456068337e-07,True,1,0,True,75,75,0
terms_n20_0013_shallow,20,shallow,75,screen_depth1,653.8050000000001,588,949,949,361,5,0.03634558300109347,True,5,0,True,67,75,0
terms_n20_0013_shallow,20,shallow,75,screen_depth2,649.715,584,947,947,363,5,0.12747633300023153,True,7,0,True,71,75,0
terms_n20_0013_shallow,20,shallow,75,screen_depth3,649.715,584,947,947,363,5,0.29723641599412076,True,7,0,True,71,75,0
terms_n20_0013_shallow,20,shallow,75,screen_depth4,649.715,584,947,947,363,5,0.47650487500504823,True,7,0,True,71,75,0
terms_n20_0013_shallow,20,shallow,75,screen_single,736.7149999999999,664,1067,1067,403,5,0.006590167002286762,True,3,0,True,71,75,0
terms_n20_0014_mixed,20,mixed,85,adaptive_all_depth,724.705,652,1065,1065,413,5,3.7550186239968752,True,11,0,True,87,85,0
terms_n20_0014_mixed,20,mixed,85,depth2_guard_direct,750.48,676,1096,1096,420,5,0.23142704099882394,True,7,0,True,82,85,0
terms_n20_0014_mixed,20,mixed,85,depth_frontier_policy,750.48,676,1096,1096,420,5,0.23142704099882394,True,7,0,True,82,85,0
terms_n20_0014_mixed,20,mixed,85,depth_policy,750.48,676,1096,1096,420,5,0.23142704099882394,True,7,0,True,82,85,0
terms_n20_0014_mixed,20,mixed,85,direct_logical_and,896.5749999999999,812,1303,1303,491,4,8.33999365568161e-07,True,1,0,True,85,85,0
terms_n20_0014_mixed,20,mixed,85,screen_depth1,763.465,688,1113,1113,425,5,0.049098875002528075,True,5,0,True,81,85,0
terms_n20_0014_mixed,20,mixed,85,screen_depth2,750.48,676,1096,1096,420,5,0.23142704099882394,True,7,0,True,82,85,0
terms_n20_0014_mixed,20,mixed,85,screen_depth3,737.5600000000001,664,1080,1080,416,5,0.8967124999981024,True,9,0,True,84,85,0
terms_n20_0014_mixed,20,mixed,85,screen_depth4,724.705,652,1065,1065,413,5,2.5704872499991325,True,11,0,True,87,85,0
terms_n20_0014_mixed,20,mixed,85,screen_single,820.0799999999999,740,1192,1192,452,5,0.00729295799828833,True,3,0,True,82,85,0
terms_n20_0015_deep,20,deep,208,adaptive_all_depth,1907.6399999999999,1732,2784,2784,1052,6,10.848971874998824,True,11,0,True,186,208,0
terms_n20_0015_deep,20,deep,208,depth2_guard_direct,2055.9300000000003,1868,2994,2994,1126,6,0.6540658750018338,True,7,0,True,192,208,0
terms_n20_0015_deep,20,deep,208,depth_frontier_policy,1907.6399999999999,1732,2784,2784,1052,6,7.526477166000404,True,11,0,True,186,208,0
terms_n20_0015_deep,20,deep,208,depth_policy,2055.9300000000003,1868,2994,2994,1126,6,0.6540658750018338,True,7,0,True,192,208,0
terms_n20_0015_deep,20,deep,208,direct_logical_and,2383.2200000000003,2168,3460,3460,1292,6,7.090056897141039e-07,True,1,0,True,208,208,0
terms_n20_0015_deep,20,deep,208,screen_depth1,2138.905,1944,3113,3113,1169,6,0.13859137499821372,True,5,0,True,197,208,0
terms_n20_0015_deep,20,deep,208,screen_depth2,2055.9300000000003,1868,2994,2994,1126,6,0.6540658750018338,True,7,0,True,192,208,0
terms_n20_0015_deep,20,deep,208,screen_depth3,1973.0849999999998,1792,2877,2877,1085,6,2.509020124998642,True,9,0,True,189,208,0
terms_n20_0015_deep,20,deep,208,screen_depth4,1907.6399999999999,1732,2784,2784,1052,6,7.526477166000404,True,11,0,True,186,208,0
terms_n20_0015_deep,20,deep,208,screen_single,2239.2149999999997,2036,3255,3255,1219,6,0.02081733399973018,True,3,0,True,201,208,0
terms_n20_0016_shallow,20,shallow,53,adaptive_all_depth,431.655,388,639,639,251,3,0.24900137499935227,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,depth2_guard_direct,431.655,388,639,639,251,3,0.07189645800099242,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,depth_frontier_policy,431.655,388,639,639,251,3,0.07189645800099242,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,depth_policy,431.655,388,639,639,251,3,0.028103499993449077,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,direct_logical_and,455.49499999999995,412,671,671,259,2,7.499984349124134e-07,True,1,0,True,53,53,0
terms_n20_0016_shallow,20,shallow,53,screen_depth1,431.655,388,639,639,251,3,0.028103499993449077,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,screen_depth2,431.655,388,639,639,251,3,0.07189645800099242,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,screen_depth3,431.655,388,639,639,251,3,0.07255254199844785,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,screen_depth4,431.655,388,639,639,251,3,0.07211483300488908,True,5,0,True,57,53,0
terms_n20_0016_shallow,20,shallow,53,screen_single,440.22499999999997,396,649,649,253,3,0.004334042001573835,True,3,0,True,55,53,0
terms_n20_0017_mixed,20,mixed,133,adaptive_all_depth,1027.455,928,1519,1519,591,5,6.3283408759962185,True,11,0,True,127,133,0
terms_n20_0017_mixed,20,mixed,133,depth2_guard_direct,1092.6399999999999,988,1608,1608,620,5,0.3806637919988134,True,7,0,True,126,133,0
terms_n20_0017_mixed,20,mixed,133,depth_frontier_policy,1027.455,928,1519,1519,591,5,4.391677916995832,True,11,0,True,127,133,0
terms_n20_0017_mixed,20,mixed,133,depth_policy,1092.6399999999999,988,1608,1608,620,5,0.3806637919988134,True,7,0,True,126,133,0
terms_n20_0017_mixed,20,mixed,133,direct_logical_and,1269.445,1152,1861,1861,709,4,7.080016075633466e-07,True,1,0,True,133,133,0
terms_n20_0017_mixed,20,mixed,133,screen_depth1,1134.14,1028,1668,1668,640,4,0.07923608300188789,True,5,0,True,126,133,0
terms_n20_0017_mixed,20,mixed,133,screen_depth2,1092.6399999999999,988,1608,1608,620,5,0.3806637919988134,True,7,0,True,126,133,0
terms_n20_0017_mixed,20,mixed,133,screen_depth3,1053.49,952,1554,1554,602,5,1.4646581249980954,True,9,0,True,126,133,0
