name,n,family,degree,degree_bucket,anf_terms,anf_bucket,onset_density,density_bucket,truth_table_hex,target_method,target_score,target_T,target_CNOT,direct_anf_score,direct_anf_score_delta_pct,esop_milp_score,esop_milp_score_delta_pct,sshr_h_score,sshr_h_score_delta_pct,abc_xag_score,abc_xag_score_delta_pct,caterpillar_api_score,caterpillar_api_score_delta_pct
truth_n4_7,4,random truth-table,4,degree >=4,8,ANF n..2n,0.437500,onset balanced,23B8,and_pareto_resource_nmcts,22.455000,16.000000,39.000000,73.270000,-69.353078,30.625000,-26.677551,40.060000,-43.946580,46.435000,-51.642080,43.095000,-47.894187
truth_n4_8,4,random truth-table,3,degree 3,11,ANF > 2n,0.500000,onset balanced,BC89,and_pareto_resource_nmcts,20.525000,16.000000,40.000000,65.645000,-68.733338,28.610000,-28.259350,23.855000,-13.959338,73.755000,-72.171378,43.335000,-52.636437
truth_n4_9,4,random truth-table,3,degree 3,10,ANF > 2n,0.500000,onset balanced,1A3D,and_pareto_resource_nmcts,24.545000,20.000000,41.000000,69.855000,-64.862930,28.685000,-14.432630,23.905000,+2.677264,90.435000,-72.858959,49.270000,-50.182667
truth_n5_0,5,random truth-table,4,degree >=4,15,ANF > 2n,0.437500,onset balanced,89463E85,and_pareto_resource_nmcts,48.670000,40.000000,76.000000,135.885000,-64.182949,48.255000,+0.860015,69.670000,-30.142098,167.745000,-70.985722,80.050000,-39.200500
truth_n5_1,5,random truth-table,5,degree >=4,12,ANF > 2n,0.593750,onset balanced,1FF49B78,and_pareto_resource_nmcts,49.565000,40.000000,93.000000,161.510000,-69.311498,59.005000,-15.998644,104.075000,-52.375691,127.995000,-61.275831,79.765000,-37.861217
truth_n5_10,5,random truth-table,4,degree >=4,15,ANF > 2n,0.625000,onset balanced,9E574F7A,and_pareto_resource_nmcts,44.345000,36.000000,70.000000,144.860000,-69.387685,57.105000,-22.344803,82.455000,-46.219150,203.295000,-78.186871,92.150000,-51.877374
truth_n5_11,5,random truth-table,4,degree >=4,15,ANF > 2n,0.625000,onset balanced,E2ACF72F,and_pareto_resource_nmcts,49.070000,40.000000,81.000000,161.535000,-69.622682,65.745000,-25.363145,90.885000,-46.008692,111.405000,-55.953503,98.110000,-49.984711
truth_n5_12,5,random truth-table,5,degree >=4,19,ANF > 2n,0.468750,onset balanced,DC98D2C1,and_pareto_resource_nmcts,49.410000,40.000000,88.000000,187.190000,-73.604359,59.090000,-16.381790,97.390000,-49.265838,111.315000,-55.612451,104.605000,-52.765164
truth_n5_13,5,random truth-table,4,degree >=4,12,ANF > 2n,0.437500,onset balanced,5C941CF0,and_pareto_resource_nmcts,35.765000,28.000000,61.000000,200.665000,-82.176762,63.190000,-43.400855,82.860000,-56.836833,130.185000,-72.527557,103.890000,-65.574165
truth_n5_14,5,random truth-table,4,degree >=4,13,ANF > 2n,0.625000,onset balanced,93CD59BF,and_pareto_resource_nmcts,55.445000,44.000000,87.000000,164.525000,-66.299954,61.545000,-9.911447,82.875000,-33.098039,199.135000,-72.157079,97.865000,-43.345425
truth_n5_15,5,random truth-table,5,degree >=4,12,ANF > 2n,0.468750,onset balanced,3139D32C,and_pareto_resource_nmcts,36.270000,28.000000,69.000000,137.015000,-73.528446,50.140000,-27.662545,63.160000,-42.574414,170.025000,-78.667843,73.700000,-50.786974
truth_n5_16,5,random truth-table,5,degree >=4,17,ANF > 2n,0.531250,onset balanced,B45ED1F0,and_pareto_resource_nmcts,47.125000,36.000000,83.000000,212.750000,-77.849589,54.590000,-13.674666,83.525000,-43.579767,153.125000,-69.224490,104.435000,-54.876239
truth_n5_17,5,random truth-table,4,degree >=4,12,ANF > 2n,0.500000,onset balanced,11CE5DD2,and_pareto_resource_nmcts,44.355000,36.000000,72.000000,126.795000,-65.018337,52.590000,-15.658871,87.270000,-49.174974,130.095000,-65.905684,67.665000,-34.449124
truth_n5_18,5,random truth-table,4,degree >=4,10,ANF n..2n,0.500000,onset balanced,BBB2599,and_pareto_resource_nmcts,40.355000,32.000000,71.000000,97.855000,-58.760411,43.765000,-7.791614,57.080000,-29.300981,130.185000,-69.001805,67.330000,-40.063865
truth_n5_19,5,random truth-table,4,degree >=4,15,ANF > 2n,0.437500,onset balanced,A9488D99,and_pareto_resource_nmcts,40.460000,32.000000,73.000000,132.380000,-69.436471,52.745000,-23.291307,90.740000,-55.411065,130.185000,-68.921151,80.020000,-49.437641
truth_n5_2,5,random truth-table,5,degree >=4,17,ANF > 2n,0.531250,onset balanced,F91E1D4C,and_pareto_resource_nmcts,60.500000,48.000000,106.000000,245.410000,-75.347378,103.330000,-41.449724,114.350000,-47.092261,149.055000,-59.410956,128.635000,-52.967699
truth_n5_20,5,random truth-table,4,degree >=4,18,ANF > 2n,0.500000,onset balanced,3A578A8E,and_pareto_resource_nmcts,49.080000,40.000000,83.000000,182.375000,-73.088417,65.805000,-25.416002,87.220000,-43.728503,127.995000,-61.654752,104.550000,-53.055954
truth_n5_21,5,random truth-table,4,degree >=4,13,ANF > 2n,0.562500,onset balanced,C5E7CE8A,and_pareto_resource_nmcts,35.780000,28.000000,60.000000,144.730000,-75.278104,57.105000,-37.343490,95.095000,-62.374468,96.515000,-62.928042,91.965000,-61.093894
