name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,constant_term_global_phase,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex
truth_n5_14,5,phase_parity_anf,6,78,103,103,0,0,5,11.695,11.695,26.695,34.195,41.695,71.695,161.695,472.945,934.1949999999999,1549.195,0.00037288665771484375,13,1,25,25,4,6,15,8,21,0,True,phase oracle verified up to global phase,,,93CD59BF
truth_n5_15,5,phase_parity_anf,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.00043129920959472656,12,0,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,3139D32C
truth_n5_16,5,phase_parity_anf,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.0005280971527099609,17,0,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,B45ED1F0
truth_n5_17,5,phase_parity_anf,8,74,100,100,0,0,5,13.46,13.46,28.46,35.96,43.46,73.46000000000001,163.46,474.71,935.96,1550.96,0.0005047321319580078,12,0,26,26,3,8,15,8,23,0,True,phase oracle verified up to global phase,,,11CE5DD2
truth_n5_18,5,phase_parity_anf,7,64,89,89,0,0,5,11.785,11.785,27.785,35.785,43.785,75.785,171.785,503.785,995.785,1651.785,0.00034809112548828125,10,1,25,25,2,7,16,8,23,0,True,phase oracle verified up to global phase,,,BBB2599
truth_n5_19,5,phase_parity_anf,6,54,77,77,0,0,5,10.084999999999999,10.084999999999999,25.085,32.585,40.085,70.085,160.085,471.335,932.5849999999999,1547.585,0.0003299713134765625,15,1,23,23,2,6,15,8,21,0,True,phase oracle verified up to global phase,,,A9488D99
truth_n5_2,5,phase_parity_anf,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.00047588348388671875,17,0,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,F91E1D4C
truth_n5_20,5,phase_parity_anf,9,72,98,98,0,0,5,14.33,14.33,30.33,38.33,46.33,78.33,174.33,506.33,998.33,1654.3300000000002,0.0003809928894042969,18,0,26,26,1,9,16,8,25,0,True,phase oracle verified up to global phase,,,3A578A8E
truth_n5_21,5,phase_parity_anf,4,52,74,74,0,0,5,7.93,7.93,22.93,30.43,37.93,67.93,157.93,469.18,930.4300000000001,1545.4299999999998,0.0003199577331542969,13,0,22,22,3,4,15,8,19,0,True,phase oracle verified up to global phase,,,C5E7CE8A
truth_n5_22,5,phase_parity_anf,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.0004520416259765625,18,1,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,4A15544D
