dataset,name,n,selected_k,policy,correct,lut_nodes,lut_edges,max_fanin,checkpoint_nodes,expanded_compute_calls,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,delta_T_vs_keep_all,delta_peak_ancilla_vs_keep_all,delta_score_vs_keep_all,source_manifest,abc_script,abc_binary,error
n14,anf_n14_27,14,5,fanout_checkpoint,True,38,43,5,2,626,7552,14547,14865,7313,3,12,18,8453.985000,6160,-28,6832.100000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_27,14,5,zero_checkpoint,True,38,43,5,0,814,11312,20939,21445,10133,1,10,16,12592.565000,9920,-30,10970.680000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_28,14,3,keep_all_bennett,True,5855,9115,3,5855,11710,132152,234857,238151,105999,5855,5856,5870,157890.535000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_28,14,3,fanout_checkpoint,True,5855,9115,3,564,2418031502,27851715472,49321484587,50123855969,22272140497,565,620,580,30799155339.985001,27851583320,-5236,30798997449.450001,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_28,14,3,zero_checkpoint,True,5855,9115,3,0,8299216150,50044489656,94818096049,97211145571,47166655915,1,61,16,55767047362.675003,50044357504,-5795,55766889472.139999,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_29,14,4,keep_all_bennett,True,23,26,4,23,46,632,1131,1147,515,23,24,38,747.595000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_29,14,4,fanout_checkpoint,True,23,26,4,4,222,2984,5413,5473,2489,5,13,20,3333.505000,2352,-11,2585.910000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_29,14,4,zero_checkpoint,True,23,26,4,0,470,5960,10621,10867,4907,1,10,16,6616.915000,5328,-14,5869.320000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_3,14,3,keep_all_bennett,True,6154,9572,3,6154,12308,139376,247217,250731,111355,6154,6155,6169,166449.195000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_3,14,3,fanout_checkpoint,True,6154,9572,3,563,6549286084,72619864672,129605571295,131823419441,59203554769,564,621,579,80373475605.105011,72619725296,-5534,80373309155.910004,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_3,14,3,zero_checkpoint,True,6154,9572,3,0,19179510582,125781749496,235285930789,240765250919,114983501423,1,59,16,139954500623.575012,125781610120,-6096,139954334174.380005,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_30,14,3,keep_all_bennett,True,626,774,3,626,1252,14776,26567,26965,12189,626,627,641,17619.045000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_30,14,3,fanout_checkpoint,True,626,774,3,68,473598,5501088,9879755,10043327,4542239,69,93,84,6092536.495000,5486312,-534,6074917.450000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_30,14,3,zero_checkpoint,True,626,774,3,0,930414,7256712,13574677,13909479,6652767,1,26,16,8074920.935000,7241936,-601,8057301.890000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_31,14,3,keep_all_bennett,True,6504,10272,3,6504,13008,145816,259361,263105,117289,6504,6505,6519,174319.905000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_31,14,3,fanout_checkpoint,True,6504,10272,3,638,5315882182,57878638200,102825453729,104346505211,46467867011,639,693,654,64021533983.435005,57878492384,-5812,64021359663.530006,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_31,14,3,zero_checkpoint,True,6504,10272,3,0,18038325470,113502714296,213361150549,218655282891,105152568595,1,57,16,126368515361.275009,113502568480,-6448,126368341041.370010,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_32,14,3,keep_all_bennett,True,3100,4466,3,3100,6200,71648,128113,130047,58399,3100,3101,3115,85509.215000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_32,14,3,fanout_checkpoint,True,3100,4466,3,339,14259328,165384216,295212933,299949963,134565747,340,370,355,183038380.235000,165312568,-2731,182952871.020000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
