CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,index,method,n,n_qubits,name,onset_size,peak_ancilla,preset_name,score,skipped,source_manifest,time_s,truth_table_hex
24,32,12,True,36,,0,17,41,external_sshr_i_t,4,5,truth_n4_24,7,1,truth_n4_24,35.67,,benchmark_exports/traditional_resource_external_seed42,1.4636077880859375,6CB
28,24,9,True,36,,0,13,47,external_sshr_h,4,5,truth_n4_30,6,1,truth_n4_30,27.79,,benchmark_exports/traditional_resource_external_seed42,0.00011396408081054688,8B81
23,20,9,True,34,,0,16,47,external_sshr_i_cnot,4,5,truth_n4_30,6,1,truth_n4_30,23.590000000000003,,benchmark_exports/traditional_resource_external_seed42,0.0880281925201416,8B81
25,20,7,True,31,,0,13,46,external_sshr_i_t,4,5,truth_n4_29,8,1,truth_n4_29,23.595,,benchmark_exports/traditional_resource_external_seed42,0.2343311309814453,B38A
29,32,10,True,41,,0,22,48,external_sshr_h,4,5,truth_n4_31,9,1,truth_n4_31,35.995,,benchmark_exports/traditional_resource_external_seed42,0.00016736984252929688,6B65
25,20,7,True,33,,0,15,46,external_sshr_i_cnot,4,5,truth_n4_29,8,1,truth_n4_29,23.645,,benchmark_exports/traditional_resource_external_seed42,0.32920002937316895,B38A
20,28,10,True,33,,0,19,48,external_sshr_i_cnot,4,5,truth_n4_31,9,1,truth_n4_31,31.485000000000003,,benchmark_exports/traditional_resource_external_seed42,0.3267979621887207,6B65
27,20,8,True,31,,0,13,49,external_sshr_h,4,5,truth_n4_32,8,1,truth_n4_32,23.674999999999997,,benchmark_exports/traditional_resource_external_seed42,0.0003006458282470703,386E
24,20,9,True,30,,0,12,47,external_sshr_i_t,4,5,truth_n4_30,6,1,truth_n4_30,23.53,,benchmark_exports/traditional_resource_external_seed42,0.3857591152191162,8B81
20,28,9,True,33,,0,19,45,external_sshr_i_t,4,5,truth_n4_28,9,1,truth_n4_28,31.485000000000003,,benchmark_exports/traditional_resource_external_seed42,0.7222609519958496,A65E
22,20,6,True,27,,0,9,50,external_sshr_h,4,5,truth_n4_33,12,1,truth_n4_33,23.375,,benchmark_exports/traditional_resource_external_seed42,0.0001308917999267578,72FF
22,20,6,True,27,,0,9,50,external_sshr_i_cnot,4,5,truth_n4_33,12,1,truth_n4_33,23.375,,benchmark_exports/traditional_resource_external_seed42,0.10444784164428711,72FF
26,20,8,True,34,,0,16,49,external_sshr_i_cnot,4,5,truth_n4_32,8,1,truth_n4_32,23.71,,benchmark_exports/traditional_resource_external_seed42,0.14232611656188965,386E
37,44,5,True,45,,0,18,51,external_sshr_h,4,5,truth_n4_34,9,1,truth_n4_34,48.334999999999994,,benchmark_exports/traditional_resource_external_seed42,0.00034880638122558594,96DA
20,28,10,True,30,,0,16,48,external_sshr_i_t,4,5,truth_n4_31,9,1,truth_n4_31,31.41,,benchmark_exports/traditional_resource_external_seed42,0.6043317317962646,6B65
22,20,6,True,27,,0,9,50,external_sshr_i_t,4,5,truth_n4_33,12,1,truth_n4_33,23.375,,benchmark_exports/traditional_resource_external_seed42,0.2293391227722168,72FF
27,32,6,True,35,,0,16,52,external_sshr_h,4,5,truth_n4_35,9,1,truth_n4_35,35.76499999999999,,benchmark_exports/traditional_resource_external_seed42,0.00015473365783691406,4737
18,28,5,True,24,,0,10,51,external_sshr_i_cnot,4,5,truth_n4_34,9,1,truth_n4_34,31.18,,benchmark_exports/traditional_resource_external_seed42,0.2641417980194092,96DA
26,20,8,True,32,,0,14,49,external_sshr_i_t,4,5,truth_n4_32,8,1,truth_n4_32,23.66,,benchmark_exports/traditional_resource_external_seed42,0.552832841873169,386E
33,24,9,True,49,,0,26,53,external_sshr_h,4,5,truth_n4_36,10,1,truth_n4_36,28.315,,benchmark_exports/traditional_resource_external_seed42,0.0001659393310546875,CF36
18,28,5,True,23,,0,9,51,external_sshr_i_t,4,5,truth_n4_34,9,1,truth_n4_34,31.154999999999998,,benchmark_exports/traditional_resource_external_seed42,0.4008967876434326,96DA
24,32,6,True,27,,0,8,52,external_sshr_i_cnot,4,5,truth_n4_35,9,1,truth_n4_35,35.445,,benchmark_exports/traditional_resource_external_seed42,0.4563918113708496,4737
27,32,9,True,41,,0,22,54,external_sshr_h,4,5,truth_n4_37,9,1,truth_n4_37,35.915,,benchmark_exports/traditional_resource_external_seed42,0.00017380714416503906,DE8A
23,20,9,True,32,,0,14,53,external_sshr_i_cnot,4,5,truth_n4_36,10,1,truth_n4_36,23.540000000000003,,benchmark_exports/traditional_resource_external_seed42,0.28798985481262207,CF36
24,32,9,True,41,,0,22,54,external_sshr_i_cnot,4,5,truth_n4_37,9,1,truth_n4_37,35.795,,benchmark_exports/traditional_resource_external_seed42,0.2550697326660156,DE8A
26,32,8,True,36,,0,17,55,external_sshr_h,4,5,truth_n4_38,5,1,truth_n4_38,35.75,,benchmark_exports/traditional_resource_external_seed42,0.00011301040649414062,1A9
23,20,9,True,29,,0,11,53,external_sshr_i_t,4,5,truth_n4_36,10,1,truth_n4_36,23.465,,benchmark_exports/traditional_resource_external_seed42,0.5262038707733154,CF36
22,32,8,True,34,,0,15,55,external_sshr_i_cnot,4,5,truth_n4_38,5,1,truth_n4_38,35.54,,benchmark_exports/traditional_resource_external_seed42,0.31677699089050293,1A9
30,32,11,True,36,,0,17,56,external_sshr_h,4,5,truth_n4_39,5,1,truth_n4_39,35.910000000000004,,benchmark_exports/traditional_resource_external_seed42,0.00011324882507324219,C241
24,32,6,True,27,,0,8,52,external_sshr_i_t,4,5,truth_n4_35,9,1,truth_n4_35,35.445,,benchmark_exports/traditional_resource_external_seed42,1.1430940628051758,4737
24,32,9,True,37,,0,18,54,external_sshr_i_t,4,5,truth_n4_37,9,1,truth_n4_37,35.695,,benchmark_exports/traditional_resource_external_seed42,0.825005054473877,DE8A
29,20,7,True,35,,0,17,57,external_sshr_h,4,5,truth_n4_40,8,1,truth_n4_40,23.855,,benchmark_exports/traditional_resource_external_seed42,0.00011801719665527344,CE4A
20,28,11,True,26,,0,12,56,external_sshr_i_cnot,4,5,truth_n4_39,5,1,truth_n4_39,31.310000000000002,,benchmark_exports/traditional_resource_external_seed42,0.3551809787750244,C241
22,32,8,True,34,,0,15,55,external_sshr_i_t,4,5,truth_n4_38,5,1,truth_n4_38,35.54,,benchmark_exports/traditional_resource_external_seed42,0.5966720581054688,1A9
19,28,6,True,25,,0,11,58,external_sshr_h,4,5,truth_n4_41,9,1,truth_n4_41,31.245,,benchmark_exports/traditional_resource_external_seed42,0.00012803077697753906,28DF
19,28,6,True,25,,0,11,58,external_sshr_i_cnot,4,5,truth_n4_41,9,1,truth_n4_41,31.245,,benchmark_exports/traditional_resource_external_seed42,0.0992581844329834,28DF
27,20,7,True,34,,0,16,57,external_sshr_i_cnot,4,5,truth_n4_40,8,1,truth_n4_40,23.75,,benchmark_exports/traditional_resource_external_seed42,0.399871826171875,CE4A
