CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
27,12,6,True,27,0,15,and_affine_nmcts,4,5,truth_n4_45,1,15.635,,3,0.010645866394042969,4722
27,12,6,True,27,0,15,and_resource_nmcts,4,5,truth_n4_45,1,15.635,,3,0.011596202850341797,4722
39,16,7,True,46,1,26,and_pareto_resource_nmcts,4,6,truth_n4_40,1,20.51,,6,0.2591211795806885,CE4A
40,20,10,True,45,1,23,and_affine_nmcts,4,6,truth_n4_46,2,26.505000000000003,,7,0.0481109619140625,27CD
40,20,10,True,45,1,23,and_resource_nmcts,4,6,truth_n4_46,2,26.505000000000003,,7,0.051162004470825195,27CD
31,16,6,True,40,0,24,and_pareto_resource_nmcts,4,5,truth_n4_43,1,20.08,,6,0.16188693046569824,6C30
36,16,11,True,39,1,21,and_pareto_resource_nmcts,4,6,truth_n4_39,2,22.235000000000003,,7,0.39340901374816895,C241
27,12,6,True,27,0,15,and_pareto_resource_nmcts,4,5,truth_n4_45,1,15.635,,3,0.10491228103637695,4722
40,16,10,True,44,1,26,and_affine_nmcts,4,6,truth_n4_47,2,22.520000000000003,,6,0.05436897277832031,371E
40,16,10,True,44,1,26,and_resource_nmcts,4,6,truth_n4_47,2,22.520000000000003,,6,0.05809283256530762,371E
34,16,6,True,35,1,17,and_pareto_resource_nmcts,4,6,truth_n4_41,2,22.055,,5,0.33647727966308594,28DF
19,8,7,True,22,0,14,and_affine_nmcts,4,5,truth_n4_49,1,11.23,,6,0.0192108154296875,C374
26,12,13,True,35,1,21,and_affine_nmcts,4,6,truth_n4_48,2,17.775,,5,0.05355429649353027,F50B
26,12,13,True,35,1,21,and_resource_nmcts,4,6,truth_n4_48,2,17.775,,5,0.06106972694396973,F50B
27,12,10,True,31,0,19,and_pareto_resource_nmcts,4,5,truth_n4_44,1,15.735,,3,0.2169959545135498,571A
19,8,7,True,22,0,14,and_resource_nmcts,4,5,truth_n4_49,1,11.23,,6,0.020354032516479492,C374
24,12,10,True,31,0,19,and_affine_nmcts,4,5,truth_n4_50,1,15.615,,5,0.022350072860717773,562B
24,12,10,True,31,0,19,and_resource_nmcts,4,5,truth_n4_50,1,15.615,,5,0.0278167724609375,562B
23,12,4,True,25,0,13,and_affine_nmcts,4,5,truth_n4_51,1,15.425,,3,0.019274234771728516,1A2A
23,12,4,True,25,0,13,and_resource_nmcts,4,5,truth_n4_51,1,15.425,,3,0.021728992462158203,1A2A
30,16,10,True,35,0,19,and_affine_nmcts,4,5,truth_n4_52,1,19.915,,5,0.011518001556396484,17BE
30,16,10,True,35,0,19,and_resource_nmcts,4,5,truth_n4_52,1,19.915,,5,0.01260232925415039,17BE
46,20,11,True,55,1,33,and_pareto_resource_nmcts,4,6,truth_n4_42,2,26.994999999999997,,7,0.4100220203399658,B2B9
45,20,10,True,51,1,29,and_affine_nmcts,4,6,truth_n4_53,2,26.855,,5,0.05227804183959961,6142
19,8,7,True,22,0,14,and_pareto_resource_nmcts,4,5,truth_n4_49,1,11.23,,6,0.17672491073608398,C374
30,16,10,True,35,0,19,and_pareto_resource_nmcts,4,5,truth_n4_52,1,19.915,,5,0.1248011589050293,17BE
24,12,10,True,31,0,19,and_pareto_resource_nmcts,4,5,truth_n4_50,1,15.615,,5,0.20197606086730957,562B
23,12,4,True,25,0,13,and_pareto_resource_nmcts,4,5,truth_n4_51,1,15.425,,3,0.17032313346862793,1A2A
45,20,10,True,51,1,29,and_resource_nmcts,4,6,truth_n4_53,2,26.855,,5,0.05370378494262695,6142
29,12,8,True,31,0,19,and_affine_nmcts,4,5,truth_n4_55,1,15.815,,5,0.013247966766357422,5BE6
29,12,8,True,31,0,19,and_resource_nmcts,4,5,truth_n4_55,1,15.815,,5,0.01563096046447754,5BE6
36,16,10,True,41,1,23,and_pareto_resource_nmcts,4,6,truth_n4_46,2,22.285,,7,0.36281895637512207,27CD
24,12,7,True,28,0,16,and_affine_nmcts,4,5,truth_n4_56,1,15.540000000000001,,4,0.011333227157592773,D8F5
47,24,8,True,47,1,21,and_affine_nmcts,4,6,truth_n4_54,2,30.794999999999998,,5,0.055220842361450195,18C2
47,24,8,True,47,1,21,and_resource_nmcts,4,6,truth_n4_54,2,30.794999999999998,,5,0.055497169494628906,18C2
24,12,7,True,28,0,16,and_resource_nmcts,4,5,truth_n4_56,1,15.540000000000001,,4,0.012134790420532227,D8F5
24,12,8,True,26,0,14,and_affine_nmcts,4,5,truth_n4_57,1,15.490000000000002,,4,0.011045217514038086,580D
24,12,8,True,26,0,14,and_resource_nmcts,4,5,truth_n4_57,1,15.490000000000002,,4,0.012297868728637695,580D
40,16,9,True,45,1,25,and_affine_nmcts,4,6,truth_n4_58,1,20.525000000000002,,7,0.026201725006103516,9A8D
40,16,10,True,44,1,26,and_pareto_resource_nmcts,4,6,truth_n4_47,2,22.520000000000003,,6,0.40418291091918945,371E
40,16,9,True,45,1,25,and_resource_nmcts,4,6,truth_n4_58,1,20.525000000000002,,7,0.02775287628173828,9A8D
