CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
1408,3072,7,True,1408,,0,64,cube_beam,7,8,parity_n7,3,3156.08,,7,0.016287803649902344,96696996699696696996966996696996
7,0,7,True,7,,0,7,neural_mcts,7,8,parity_n7,0,0.455,,7,0.00016498565673828125,96696996699696696996966996696996
,,7,,,,,,sshr_h,7,,parity_n7,,,n>6 for SSHR reference in this harness,,,96696996699696696996966996696996
350,840,35,True,350,,0,35,direct_anf,7,8,majority_n7,1,861.6,,35,0.00019097328186035156,FFFEFEE8FEE8E880FEE8E880E8808000
665,420,35,True,665,,0,245,and_direct_anf,7,8,majority_n7,2,463.02500000000003,,35,0.00019288063049316406,FFFEFEE8FEE8E880FEE8E880E8808000
219,108,15,True,219,,1,87,and_fprm_neural_mcts,6,8,majority_n6,2,124.915,,15,35.28211307525635,FEE8E880E8808000
200,96,35,True,213,,1,95,and_affine_nmcts,6,8,threshold3_n6,2,112.145,,16,32.69524693489075,FFFEFEE8FEE8E880
550,600,35,True,550,,1,45,greedy_factor,7,9,majority_n7,2,634.7,,35,0.007169008255004883,FFFEFEE8FEE8E880FEE8E880E8808000
494,480,35,True,494,,1,55,mcts_factor,7,9,majority_n7,2,511.72,,35,1.7428619861602783,FFFEFEE8FEE8E880FEE8E880E8808000
459,240,35,True,459,,1,183,and_mcts_factor,7,9,majority_n7,2,271.075,,35,1.6403379440307617,FFFEFEE8FEE8E880FEE8E880E8808000
550,600,35,True,550,,1,45,fprm_greedy,7,9,majority_n7,2,634.7,,35,0.3209240436553955,FFFEFEE8FEE8E880FEE8E880E8808000
200,96,15,True,202,,1,84,and_rc_nmcts,6,8,majority_n6,2,111.87,,15,47.12126183509827,FEE8E880E8808000
200,96,35,True,213,,1,95,and_rc_nmcts,6,8,threshold3_n6,2,112.145,,16,59.84360384941101,FFFEFEE8FEE8E880
219,108,35,True,232,,1,100,and_fprm_neural_mcts,6,8,threshold3_n6,2,125.24000000000001,,16,42.96977996826172,FFFEFEE8FEE8E880
545,1168,35,True,579,,0,63,cube_greedy,7,8,majority_n7,3,1205.115,,35,0.022703886032104492,FFFEFEE8FEE8E880FEE8E880E8808000
545,1168,35,True,579,,0,63,cube_beam,7,8,majority_n7,3,1205.115,,35,0.08162093162536621,FFFEFEE8FEE8E880FEE8E880E8808000
518,492,35,True,518,,1,57,neural_mcts,7,9,majority_n7,2,525.0600000000001,,35,10.54250192642212,FFFEFEE8FEE8E880FEE8E880E8808000
,,35,,,,,,sshr_h,7,,majority_n7,,,n>6 for SSHR reference in this harness,,,FFFEFEE8FEE8E880FEE8E880E8808000
862,1448,71,True,862,,0,71,direct_anf,7,8,threshold3_n7,3,1502.1200000000001,,71,0.00034999847412109375,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
1157,724,71,True,1157,,0,433,and_direct_anf,7,8,threshold3_n7,5,801.965,,71,0.0002601146697998047,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
494,480,35,True,494,,1,55,fprm_mcts,7,9,majority_n7,2,511.72,,35,36.22269105911255,FFFEFEE8FEE8E880FEE8E880E8808000
232,108,35,True,232,,1,100,and_affine_nmcts,7,9,majority_n7,2,125.76,,16,55.64151191711426,FFFEFEE8FEE8E880FEE8E880E8808000
826,800,71,True,826,,2,91,greedy_factor,7,10,threshold3_n7,4,854.3399999999999,,71,0.013748407363891602,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
775,688,71,True,775,,1,103,mcts_factor,7,9,threshold3_n7,3,737.655,,71,8.22473692893982,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
746,380,71,True,746,,1,308,and_mcts_factor,7,9,threshold3_n7,4,432.10999999999996,,71,9.395827054977417,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
506,620,71,True,521,,3,68,fprm_greedy,7,11,threshold3_n7,4,656.735,,30,0.45525193214416504,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
459,240,35,True,459,,1,183,and_fprm_mcts,7,9,majority_n7,2,271.075,,35,71.21786189079285,FFFEFEE8FEE8E880FEE8E880E8808000
498,272,71,True,513,,2,207,and_fprm_mcts,7,10,threshold3_n7,3,307.685,,30,24.489436864852905,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
486,572,71,True,501,,2,66,fprm_mcts,7,10,threshold3_n7,3,605.615,,30,42.605061292648315,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
412,888,71,True,433,,0,41,cube_greedy,7,8,threshold3_n7,3,917.385,,71,0.02405691146850586,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
